Matrix,n,Experiment,Type,Variant,RangeDecades,Count,SingleTermRows,EmptyRows,Total,Percentage
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Plain,0,59,153,7602,22653,0.2604511543724893
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Plain,1,91,153,7602,22653,0.401712797421975
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Plain,2,3,153,7602,22653,0.013243279035889286
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Plain,7,7650,153,7602,22653,33.77036154151768
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Plain,8,7350,153,7602,22653,32.44603363792875
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Plain,12,7500,153,7602,22653,33.10819758972322
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Quire,0,50,153,7602,22653,0.22072131726482144
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Quire,1,100,153,7602,22653,0.4414426345296429
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Quire,2,3,153,7602,22653,0.013243279035889286
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Quire,7,7650,153,7602,22653,33.77036154151768
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Quire,8,7350,153,7602,22653,32.44603363792875
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Quire,12,7500,153,7602,22653,33.10819758972322
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Plain,0,733,816,7602,120816,0.6067077208316779
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Plain,1,67,816,7602,120816,0.05545623096278639
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Plain,2,16,816,7602,120816,0.013243279035889286
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Plain,7,40800,816,7602,120816,33.77036154151768
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Plain,8,39200,816,7602,120816,32.44603363792875
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Plain,12,40000,816,7602,120816,33.10819758972322
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Quire,0,300,306,7602,45306,0.6621639517944643
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Quire,2,6,306,7602,45306,0.013243279035889286
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Quire,7,15300,306,7602,45306,33.77036154151768
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Quire,8,14700,306,7602,45306,32.44603363792875
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Quire,12,15000,306,7602,45306,33.10819758972322
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1,50,51,7602,7551,0.6621639517944643
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Plain,2,1,51,7602,7551,0.013243279035889286
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Plain,7,2550,51,7602,7551,33.77036154151768
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Plain,8,2450,51,7602,7551,32.44603363792875
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Plain,12,2500,51,7602,7551,33.10819758972322
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1,50,51,7602,7551,0.6621639517944643
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Quire,2,1,51,7602,7551,0.013243279035889286
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Quire,7,2550,51,7602,7551,33.77036154151768
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Quire,8,2450,51,7602,7551,32.44603363792875
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Quire,12,2500,51,7602,7551,33.10819758972322
