Matrix,n,Experiment,Type,Variant,RangeDecades,Count,SingleTermRows,EmptyRows,Total
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1,87,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Plain,2,19,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Plain,3,9,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Plain,4,3,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Plain,5,10,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Plain,6,12,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Plain,7,1,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Plain,8,2,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Quire,0,28,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1,87,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Quire,2,19,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Quire,3,9,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Quire,4,3,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Quire,5,10,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Quire,6,12,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Quire,7,1,9,180,171
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Quire,8,2,9,180,171
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,0,154,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,1,110,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,2,398,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,3,1078,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,4,812,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,5,284,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,6,68,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,0,168,72,135,3168
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,1,120,72,135,3168
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,2,433,72,135,3168
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,3,1177,72,135,3168
